Country Name,Country Code,GPD Per Capita
Aruba,ABW,
Afghanistan,AFG,585.8500638
Angola,AGO,4170.31228
Albania,ALB,4537.862492
Andorra,AND,39146.54884
Arab World,ARB,6251.141575
United Arab Emirates,ARE,40698.84934
Argentina,ARG,14401.97485
Armenia,ARM,3936.79832
American Samoa,ASM,
Antigua and Barbuda,ATG,15021.73818
Australia,AUS,53799.93809
Austria,AUT,47290.91165
Azerbaijan,AZE,4131.61831
Burundi,BDI,320.0868701
Belgium,BEL,43323.80734
Benin,BEN,829.7972306
Burkina Faso,BFA,670.7059131
Bangladesh,BGD,1516.513423
Bulgaria,BGR,8031.598442
Bahrain,BHR,23655.0356
"Bahamas, The",BHS,30762.01244
Bosnia and Herzegovina,BIH,5180.636301
Belarus,BLR,5726.029673
Belize,BLZ,4905.506284
Bermuda,BMU,
Bolivia,BOL,3393.955818
Brazil,BRA,9821.407686
Barbados,BRB,16788.68392
Brunei Darussalam,BRN,28290.5852
Bhutan,BTN,3110.230113
Botswana,BWA,7595.59585
Central African Republic,CAF,418.411287
Canada,CAN,45032.11991
Central Europe and the Baltics,CEB,14122.33585
Switzerland,CHE,80189.69686
Channel Islands,CHI,
Chile,CHL,15346.4497
China,CHN,8826.994096
Cote d'Ivoire,CIV,1662.442467
Cameroon,CMR,1446.702895
"Congo, Dem. Rep.",COD,457.8473868
"Congo, Rep.",COG,1658.043625
Colombia,COL,6301.589878
Comoros,COM,797.2863685
Cabo Verde,CPV,3209.69112
Costa Rica,CRI,11630.6684
Caribbean small states,CSS,9517.932644
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,25233.57098
Czech Republic,CZE,20368.13856
Germany,DEU,44469.90906
Djibouti,DJI,1927.589706
Dominica,DMA,7609.614349
Denmark,DNK,56307.5083
Dominican Republic,DOM,7052.258839
Algeria,DZA,4123.389937
East Asia & Pacific (excluding high income),EAP,7127.72037
Early-demographic dividend,EAR,3500.735205
East Asia & Pacific,EAS,10369.69141
Europe & Central Asia (excluding high income),ECA,7942.560389
Europe & Central Asia,ECS,23416.10782
Ecuador,ECU,6198.947323
"Egypt, Arab Rep.",EGY,2412.727082
Euro area,EMU,36869.05443
Eritrea,ERI,
Spain,ESP,28156.81584
Estonia,EST,19704.65504
Ethiopia,ETH,767.5634778
European Union,EUU,33715.12736
Fragile and conflict affected situations,FCS,1624.618252
Finland,FIN,45703.32787
Fiji,FJI,5589.388833
France,FRA,38476.65864
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3187.55716
Gabon,GAB,7220.687235
United Kingdom,GBR,39720.44343
Georgia,GEO,4078.254879
Ghana,GHA,1641.486625
Gibraltar,GIB,
Guinea,GIN,825.3449298
"Gambia, The",GMB,483.0224586
Guinea-Bissau,GNB,723.6586216
Equatorial Guinea,GNQ,9850.013585
Greece,GRC,18613.42387
Grenada,GRD,10376.22703
Greenland,GRL,
Guatemala,GTM,4470.989572
Guam,GUM,
Guyana,GUY,4725.319063
High income,HIC,41211.11695
"Hong Kong SAR, China",HKG,46193.61452
Honduras,HND,2480.125929
Heavily indebted poor countries (HIPC),HPC,952.5059987
Croatia,HRV,13294.51493
Haiti,HTI,765.6839246
Hungary,HUN,14224.84646
IBRD only,IBD,6039.831956
IDA & IBRD total,IBT,4838.785782
IDA total,IDA,1304.158159
IDA blend,IDB,1717.264627
Indonesia,IDN,3846.864323
IDA only,IDX,1101.305654
Isle of Man,IMN,
India,IND,1939.612984
Not classified,INX,
Ireland,IRL,69330.69015
"Iran, Islamic Rep.",IRN,5415.209635
Iraq,IRQ,5165.714157
Iceland,ISL,70056.87339
Israel,ISR,40270.25135
Italy,ITA,31952.97592
Jamaica,JAM,5109.552649
